Template,Announce_date,PSE_Form_No,RC_No,Files
Initial Statement of Beneficial Ownership of Securities,"Jun 11, 2019 07:34 AM",17-6,CR03814-2019,"1WuHcck6BvdJeteiNsstPN9e5JJOO0bwn"
Initial Statement of Beneficial Ownership of Securities,"Jun 11, 2019 07:33 AM",17-6,CR03813-2019,"1GZSuKn9VTIGVqOUWzodZL2wdWX5nRrCv"
Initial Statement of Beneficial Ownership of Securities,"Aug 06, 2018 07:55 AM",17-6,CR05140-2018,"1qRu2esGkn_Qbi0-cKJJwuhZpv1bXHXAc"
Initial Statement of Beneficial Ownership of Securities,"Aug 06, 2018 07:54 AM",17-6,CR05139-2018,"1dbxLjgMo2YGRH-pt10Pmcuxl5Csem0Cx"
Initial Statement of Beneficial Ownership of Securities,"Dec 28, 2017 01:50 PM",17-6,CR08482-2017,"1R9RfbFeK7Dnyx46-XPvblG0n5QmdiyAk"
Initial Statement of Beneficial Ownership of Securities,"Jun 21, 2017 07:37 AM",17-6,CR04591-2017,"1bJQebn2mkVRk1qjNmFqpHAGMsN8zPiis"
Initial Statement of Beneficial Ownership of Securities,"Jun 21, 2017 07:36 AM",17-6,CR04590-2017,"1Tn2O9HaE00eO-fJCv_TY-SBqOO8NaNYd"
